Date,daily_return,USDJPY,USDEUR,USDGBP,USDAUD,USDCAD,USDCHF,USDNZD,USDSGD,USDZAR
2010-05-04,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-05-05,0.0025676346715148846,0,0,0,-1.0,1.0,0,0,0,0
2010-05-06,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-05-07,-0.007058326361009559,0,0,0,-1.0,1.0,0,0,0,0
2010-05-10,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-05-11,-0.011773290493878541,0,0,0,-1.0,1.0,0,0,0,0
2010-05-12,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-05-13,0.002910250640780432,0,0,0,-1.0,1.0,0,0,0,0
2010-05-14,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-05-17,-0.012057929475438711,0,0,0,-1.0,1.0,0,0,0,0
2010-05-18,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-05-19,-0.013835835058988888,0,0,0,-1.0,1.0,0,0,0,0
2010-05-20,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-05-21,0.010941938539799634,0,0,0,-1.0,1.0,0,0,0,0
2010-05-24,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-05-25,0.008593628128609754,0,0,0,-1.0,1.0,0,0,0,0
2010-05-26,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-05-27,0.006237586979606413,0,0,0,-1.0,1.0,0,0,0,0
2010-05-28,0.004328684100789459,0,0,0,-1.0,1.0,0,0,0,0
2010-05-31,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-06-01,-0.0058274077751026,0,0,0,-1.0,1.0,0,0,0,0
2010-06-02,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-06-03,0.0032958976491270775,0,0,0,-1.0,1.0,0,0,0,0
2010-06-04,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-06-07,-0.017581538482525416,0,0,0,-1.0,1.0,0,0,0,0
2010-06-08,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-06-09,-0.0001944709393145727,0,0,0,-1.0,1.0,0,0,0,0
2010-06-10,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-06-11,0.005002582984007242,0,0,0,-1.0,1.0,0,0,0,0
2010-06-14,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-06-15,-0.0006779706482222814,0,0,0,-1.0,1.0,0,0,0,0
2010-06-16,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-06-17,0.008260976486787808,0,0,0,-1.0,1.0,0,0,0,0
2010-06-18,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-06-21,0.007179930947270097,0,0,0,-1.0,1.0,0,0,0,0
2010-06-22,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-06-23,0.012958714174819086,0,0,0,-1.0,1.0,0,0,0,0
2010-06-24,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-06-25,0.0005182534148369111,0,0,0,-1.0,1.0,0,0,0,0
2010-06-28,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-06-29,-0.006343147482922973,0,0,0,-1.0,1.0,0,0,0,0
2010-06-30,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-07-01,0.0030414951191831685,0,0,0,-1.0,1.0,0,0,0,0
2010-07-02,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-07-05,-0.002931709613849698,0,0,0,-1.0,1.0,0,0,0,0
2010-07-06,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-07-07,0.009036991518122206,0,0,0,-1.0,1.0,0,0,0,0
2010-07-08,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-07-09,-0.008421682589346946,0,0,0,-1.0,1.0,0,0,0,0
2010-07-12,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-07-13,0.0035592582424599506,0,0,0,-1.0,1.0,0,0,0,0
2010-07-14,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-07-15,0.007502287984447409,0,0,0,-1.0,1.0,0,0,0,0
2010-07-16,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-07-19,-0.003964478080106026,0,0,0,-1.0,1.0,0,0,0,0
2010-07-20,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-07-21,-0.00289690106296403,0,0,0,-1.0,1.0,0,0,0,0
2010-07-22,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-07-23,0.001342271007075957,0,0,0,-1.0,1.0,0,0,0,0
2010-07-26,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-07-27,0.0024833193627813444,0,0,0,-1.0,1.0,0,0,0,0
2010-07-28,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-07-29,0.007569897801299574,0,0,0,-1.0,1.0,0,0,0,0
2010-07-30,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-08-02,0.0028122927595459757,0,0,0,-1.0,1.0,0,0,0,0
2010-08-03,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-08-04,-0.0003324605343126841,0,0,0,-1.0,1.0,0,0,0,0
2010-08-05,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-08-06,-0.0025406836867707394,0,0,0,-1.0,1.0,0,0,0,0
2010-08-09,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-08-10,-0.0035252328008360534,0,0,0,-1.0,1.0,0,0,0,0
2010-08-11,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-08-12,-0.004772537204416061,0,0,0,-1.0,1.0,0,0,0,0
2010-08-13,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-08-16,-0.004714568159932875,0,0,0,-1.0,1.0,0,0,0,0
