Date,daily_return,USDJPY,USDEUR,USDGBP,USDAUD,USDCAD,USDCHF,USDNZD,USDSGD,USDZAR
2010-01-01,0.0,0,0.0,0.0,0,0,0,0,0,0
2010-01-04,0.0,0,0.0,0.0,0,0,0,0,0,0
2010-01-05,0.0,0,0.0,0.0,0,0,0,0,0,0
2010-01-06,-0.0,0,0.0,0.0,0,0,0,0,0,0
2010-01-07,0.0,0,0.0,0.0,0,0,0,0,0,0
2010-01-08,-0.0,0,0.0,0.0,0,0,0,0,0,0
2010-01-11,-0.0,0,0.0,0.0,0,0,0,0,0,0
2010-01-12,0.0,0,0.0,0.0,0,0,0,0,0,0
2010-01-13,-0.0,0,0.0,0.0,0,0,0,0,0,0
2010-01-14,0.0,0,0.0,0.0,0,0,0,0,0,0
2010-01-15,0.0,0,0.0,0.0,0,0,0,0,0,0
2010-01-18,-0.0,0,0.0,0.0,0,0,0,0,0,0
2010-01-19,0.0,0,0.0,0.0,0,0,0,0,0,0
2010-01-20,0.0,0,0.0,0.0,0,0,0,0,0,0
2010-01-21,0.0,0,0.0,0.0,0,0,0,0,0,0
2010-01-22,0.0,0,0.0,0.0,0,0,0,0,0,0
2010-01-25,-0.0,0,0.0,0.0,0,0,0,0,0,0
2010-01-26,0.0,0,0.0,0.0,0,0,0,0,0,0
2010-01-27,0.0,0,0.0,0.0,0,0,0,0,0,0
2010-01-28,0.0,0,0.0,0.0,0,0,0,0,0,0
2010-01-29,0.0,0,0.0,0.0,0,0,0,0,0,0
2010-02-01,0.0,0,0.0,0.0,0,0,0,0,0,0
2010-02-02,-0.001050828883123689,0,1.0,-1.0,0,0,0,0,0,0
2010-02-03,0.0008831140450646924,0,1.0,-1.0,0,0,0,0,0,0
2010-02-04,0.001836977015960306,0,1.0,-1.0,0,0,0,0,0,0
2010-02-05,-0.0024018034725232784,0,1.0,-1.0,0,0,0,0,0,0
2010-02-08,-0.0034005665602445667,0,1.0,-1.0,0,0,0,0,0,0
2010-02-09,-0.0017365793795814932,0,1.0,-1.0,0,0,0,0,0,0
2010-02-10,0.0,0,0.0,0.0,0,0,0,0,0,0
2010-02-11,0.010955801254932007,0,1.0,-1.0,0,0,0,0,0,0
2010-02-12,0.0,0,0.0,0.0,0,0,0,0,0,0
2010-02-15,0.0003672921156971931,0,1.0,-1.0,0,0,0,0,0,0
2010-02-16,-0.0,0,0.0,0.0,0,0,0,0,0,0
2010-02-17,0.004886525197496994,0,1.0,-1.0,0,0,0,0,0,0
2010-02-18,0.0,0,0.0,0.0,0,0,0,0,0,0
2010-02-19,-0.008627937172739575,0,1.0,-1.0,0,0,0,0,0,0
2010-02-22,0.0,0,0.0,0.0,0,0,0,0,0,0
2010-02-23,0.0031769307962730142,0,1.0,-1.0,0,0,0,0,0,0
2010-02-24,0.0,0,0.0,0.0,0,0,0,0,0,0
2010-02-25,-0.010834227984056533,0,1.0,-1.0,0,0,0,0,0,0
2010-02-26,0.0,0,0.0,0.0,0,0,0,0,0,0
2010-03-01,-0.012288088574827993,0,1.0,-1.0,0,0,0,0,0,0
2010-03-02,-0.0,0,0.0,0.0,0,0,0,0,0,0
2010-03-03,-0.0009520569242548182,0,1.0,-1.0,0,0,0,0,0,0
2010-03-04,0.0,0,0.0,0.0,0,0,0,0,0,0
2010-03-05,0.0031044846509842294,0,1.0,-1.0,0,0,0,0,0,0
2010-03-08,0.0,0,0.0,0.0,0,0,0,0,0,0
2010-03-09,-0.0009643722164056623,0,1.0,-1.0,0,0,0,0,0,0
2010-03-10,0.0,0,0.0,0.0,0,0,0,0,0,0
2010-03-11,0.00369678097840076,0,1.0,-1.0,0,0,0,0,0,0
2010-03-12,0.0033205187933345037,0,1.0,-1.0,0,0,0,0,0,0
2010-03-15,-0.003981596244666763,0,1.0,-1.0,0,0,0,0,0,0
2010-03-16,0.005349683250245318,0,1.0,-1.0,0,0,0,0,0,0
2010-03-17,0.0075040536068662345,0,1.0,-1.0,0,0,0,0,0,0
2010-03-18,0.004923558284920082,0,1.0,-1.0,0,0,0,0,0,0
2010-03-19,0.0,0,0.0,0.0,0,0,0,0,0,0
2010-03-22,0.0037420793190480195,0,1.0,-1.0,0,0,0,0,0,0
2010-03-23,0.0,0,0.0,0.0,0,0,0,0,0,0
2010-03-24,0.0020593573753846517,0,1.0,-1.0,0,0,0,0,0,0
2010-03-25,0.0,0,0.0,0.0,0,0,0,0,0,0
2010-03-26,-0.004115380828270121,0,1.0,-1.0,0,0,0,0,0,0
2010-03-29,-0.0,0,0.0,0.0,0,0,0,0,0,0
2010-03-30,0.01035923482643386,0,1.0,-1.0,0,0,0,0,0,0
2010-03-31,-0.0,0,0.0,0.0,0,0,0,0,0,0
2010-04-01,0.0014831867631571738,0,1.0,-1.0,0,0,0,0,0,0
2010-04-02,0.0,0,0.0,0.0,0,0,0,0,0,0
2010-04-05,0.006924235094412534,0,1.0,-1.0,0,0,0,0,0,0
2010-04-06,0.0,0,0.0,0.0,0,0,0,0,0,0
2010-04-07,0.002113578219522516,0,1.0,-1.0,0,0,0,0,0,0
2010-04-08,0.0017349334310269304,0,1.0,-1.0,0,0,0,0,0,0
2010-04-09,-0.004700164057126588,0,1.0,-1.0,0,0,0,0,0,0
2010-04-12,-0.0,0,0.0,0.0,0,0,0,0,0,0
2010-04-13,-0.0006785364294059626,0,1.0,-1.0,0,0,0,0,0,0
2010-04-14,-0.0,0,0.0,0.0,0,0,0,0,0,0
2010-04-15,0.005602661472056347,0,1.0,-1.0,0,0,0,0,0,0
2010-04-16,0.0,0,0.0,0.0,0,0,0,0,0,0
2010-04-19,-0.0006320284263940934,0,1.0,-1.0,0,0,0,0,0,0
2010-04-20,0.0,0,0.0,0.0,0,0,0,0,0,0
2010-04-21,0.006583223193861509,0,1.0,-1.0,0,0,0,0,0,0
2010-04-22,0.006479592335505435,0,1.0,-1.0,0,0,0,0,0,0
2010-04-23,-0.00799658536280301,0,1.0,-1.0,0,0,0,0,0,0
2010-04-26,0.004268074153515711,0,1.0,-1.0,0,0,0,0,0,0
2010-04-27,0.0030549699567326005,0,1.0,-1.0,0,0,0,0,0,0
2010-04-28,-0.0060386851127965935,0,1.0,-1.0,0,0,0,0,0,0
2010-04-29,0.006103900683593122,0,1.0,-1.0,0,0,0,0,0,0
2010-04-30,-0.006294030860792721,0,1.0,-1.0,0,0,0,0,0,0
2010-05-03,0.0040981647102191765,0,1.0,-1.0,0,0,0,0,0,0
2010-05-04,0.010181622826037628,0,1.0,-1.0,0,0,0,0,0,0
2010-05-05,0.009646947602696576,0,1.0,-1.0,0,0,0,0,0,0
2010-05-06,-0.0013432725070352536,0,1.0,-1.0,0,0,0,0,0,0
2010-05-07,-0.015121496846950633,0,1.0,-1.0,0,0,0,0,0,0
2010-05-10,0.0034957098945038734,0,1.0,-1.0,0,0,0,0,0,0
2010-05-11,0.01577409286223408,0,1.0,-1.0,0,0,0,0,0,0
2010-05-12,-0.006374964742807854,0,1.0,-1.0,0,0,0,0,0,0
2010-05-13,-0.007456334088926209,0,1.0,-1.0,0,0,0,0,0,0
